# Freq,Power
1.029058116232464910e+08,-9.881414749680760679e+01
1.029258517034068108e+08,-9.595607761539606884e+01
1.029458917835671306e+08,-9.703095314854091669e+01
1.029659318637274504e+08,-9.677683749493797905e+01
1.029859719438877702e+08,-9.806367164241297019e+01
1.030060120240480900e+08,-9.634004965927809394e+01
1.030260521042084098e+08,-9.519671169894007789e+01
1.030460921843687445e+08,-9.592682291038919118e+01
1.030661322645290643e+08,-9.531134565310063067e+01
1.030861723446893841e+08,-9.473701916391729583e+01
1.031062124248497039e+08,-9.634068614798157171e+01
1.031262525050100237e+08,-9.391777728983556983e+01
1.031462925851703435e+08,-9.444520647853104833e+01
1.031663326653306633e+08,-9.193040339976126063e+01
1.031863727454909831e+08,-9.507982751806383703e+01
1.032064128256513029e+08,-9.338851212305692684e+01
1.032264529058116227e+08,-9.263831272467253086e+01
1.032464929859719425e+08,-9.133685698336380199e+01
1.032665330661322623e+08,-9.258788440804129038e+01
1.032865731462925822e+08,-9.183321762623771178e+01
1.033066132264529020e+08,-9.146975464184367866e+01
1.033266533066132218e+08,-9.142266965727962713e+01
1.033466933867735416e+08,-9.299329721461428733e+01
1.033667334669338614e+08,-8.955902679419769186e+01
1.033867735470941961e+08,-8.830650076090638834e+01
1.034068136272545159e+08,-9.010508283968441390e+01
1.034268537074148357e+08,-8.775962169366725618e+01
1.034468937875751555e+08,-8.755912553586884428e+01
1.034669338677354753e+08,-8.812550641163984722e+01
1.034869739478957951e+08,-8.698084333019015446e+01
1.035070140280561149e+08,-8.576127286234797964e+01
1.035270541082164347e+08,-8.610318842143452400e+01
1.035470941883767545e+08,-8.570903104673440964e+01
1.035671342685370743e+08,-8.467433993467382436e+01
1.035871743486973941e+08,-8.399810905618427626e+01
1.036072144288577139e+08,-8.453626339917097710e+01
1.036272545090180337e+08,-8.334675204365105117e+01
1.036472945891783535e+08,-8.344929201895190829e+01
1.036673346693386734e+08,-8.478128319663538548e+01
1.036873747494989932e+08,-8.186829239289028237e+01
1.037074148296593130e+08,-8.162715496210509514e+01
1.037274549098196328e+08,-7.962918919094450132e+01
1.037474949899799526e+08,-8.052121769366877402e+01
1.037675350701402873e+08,-7.850701513992848390e+01
1.037875751503006071e+08,-7.972280016218114440e+01
1.038076152304609269e+08,-7.647085567304468157e+01
1.038276553106212467e+08,-7.954194662896294687e+01
1.038476953907815665e+08,-7.847097607734397684e+01
1.038677354709418863e+08,-7.921398309981560715e+01
1.038877755511022061e+08,-7.556240239143916426e+01
1.039078156312625259e+08,-7.568444142939866026e+01
1.039278557114228457e+08,-7.428768547463485561e+01
1.039478957915831655e+08,-7.407516774587627140e+01
1.039679358717434853e+08,-7.375978227498183060e+01
1.039879759519038051e+08,-7.484758545403605012e+01
1.040080160320641249e+08,-7.259716339982237798e+01
1.040280561122244447e+08,-7.097636739275323237e+01
1.040480961923847646e+08,-7.220642088187915419e+01
1.040681362725450844e+08,-6.998726513922434833e+01
1.040881763527054042e+08,-6.958080013131295516e+01
1.041082164328657389e+08,-6.948397692969605544e+01
1.041282565130260587e+08,-6.868106430895255698e+01
1.041482965931863785e+08,-6.861796486173405185e+01
1.041683366733466983e+08,-6.874482731032234994e+01
1.041883767535070181e+08,-6.504935417324574587e+01
1.042084168336673379e+08,-6.478911221327133774e+01
1.042284569138276577e+08,-6.705182318378236062e+01
1.042484969939879775e+08,-6.391474303042244998e+01
1.042685370741482973e+08,-6.603116560233461030e+01
1.042885771543086171e+08,-6.419462841692876509e+01
1.043086172344689369e+08,-6.284699583111421362e+01
1.043286573146292567e+08,-6.321032201541805051e+01
1.043486973947895765e+08,-6.261333379444619851e+01
1.043687374749498963e+08,-6.368174756275771387e+01
1.043887775551102161e+08,-6.188327982540946692e+01
1.044088176352705359e+08,-6.326400009175554118e+01
1.044288577154308558e+08,-5.967174304031077980e+01
1.044488977955911756e+08,-6.040829051684546158e+01
1.044689378757514954e+08,-5.963043514051918947e+01
1.044889779559118301e+08,-5.863916558299137449e+01
