Frequency_Hz,Power_dBm
103237460.94,-66.7601
103242343.75,-66.7595
103247226.56,-66.7486
103252109.38,-66.6989
103256992.19,-66.6362
103261875.00,-66.6131
103266757.81,-66.7711
103271640.62,-66.7930
103276523.44,-66.7684
103281406.25,-66.8437
103286289.06,-66.7470
103291171.88,-66.7029
103296054.69,-66.7673
103300937.50,-66.8261
103305820.31,-66.7195
103310703.12,-66.6857
103315585.94,-66.8098
103320468.75,-66.8154
103325351.56,-66.7628
103330234.38,-66.7908
103335117.19,-66.7980
103340000.00,-66.8029
103344882.81,-66.7328
103349765.62,-66.6967
103354648.44,-66.7195
103359531.25,-66.7436
103364414.06,-66.7764
103369296.88,-66.6318
