# Origen Binario: fm_full_dataset.bin
# Frecuencia Central: 80000000 Hz
# Ancho de Banda: 20000000 Hz
# Ganancias: LNA=24 | VGA=10

Frequency_Hz,Power_dBm
75346679.69,-63.9858
75351562.50,-64.1641
75356445.31,-64.2250
75361328.12,-64.1475
75366210.94,-64.1613
75371093.75,-64.1707
75375976.56,-64.2703
75380859.38,-64.2211
75385742.19,-64.1552
75390625.00,-63.8197
75395507.81,-64.0434
75400390.62,-64.0727
75405273.44,-64.1529
75410156.25,-64.1107
75415039.06,-64.1741
75419921.88,-64.1980
75424804.69,-64.2780
75429687.50,-64.3310
75434570.31,-64.0651
75439453.12,-63.7284
75444335.94,-64.2359
75449218.75,-64.2843
75454101.56,-64.2718
75458984.38,-64.1684
75463867.19,-64.1966
75468750.00,-64.1900
75473632.81,-64.1252
75478515.62,-64.0718
75483398.44,-63.9956
75488281.25,-63.7157
75493164.06,-64.0935
75498046.88,-64.2068
